gene	gene_id	chromosome	start_position	end_position	oe_lof	oe_lof_lower	oe_lof_upper	oe_lof_upper_bin	p_cnv	p_dnw	p_mupit	min_p	p_comb	p_comb_adj_ihw	p_comb_fdr
MBOAT1	ENSG00000172197	6	20100935	20212670	0.75304	0.537	1.075	6	1	1	1	1	1	1	1
PTCRA	ENSG00000171611	6	42883727	42893573	0.34235	0.139	1.075	6	0.115988	1	1	1	0.365857299591824	1	1
C5orf34	ENSG00000172244	5	43486803	43515247	0.77451	0.567	1.075	6	0.344966	1	1	1	0.712116562528295	1	1
FAM179A	ENSG00000189350	2	29179477	29284239	0.78867	0.586	1.075	6	1	1	1	1	1	1	1
LACC1	ENSG00000179630	13	44453420	44468068	0.63424	0.39	1.076	6	1	1	1	1	1	1	1
AP1M2	ENSG00000129354	19	10683347	10697991	0.69872	0.466	1.076	6	0.0426957	1	1	1	0.17734329600966	1	1
GPR82	ENSG00000171657	X	41583408	41589388	0.34281	0.139	1.076	6	1	1	1	1	1	1	1
UQCRB	ENSG00000156467	8	97238148	97247862	0.47063	0.231	1.076	6	1	1	1	1	1	1	1
GRAMD1C	ENSG00000178075	3	113547029	113666021	0.81461	0.623	1.076	6	0.0175982	1	1	1	0.0886942004005822	1	0.849632018507972
C16orf96	ENSG00000205832	16	4606491	4650715	0.81478	0.624	1.076	6	0.118888	1	1	1	0.372068723036159	1	1
MSTO1	ENSG00000125459	1	155579979	155718153	0.71739	0.49	1.076	6	0.341966	1	1	1	0.70891055153194	1	1
POPDC2	ENSG00000121577	3	119355304	119384171	0.61652	0.371	1.076	6	1	1	1	1	1	1	1
SMYD4	ENSG00000186532	17	1682779	1733928	0.77523	0.567	1.076	6	0.00019998	1	1	1	0.00190326829341939	1	0.0635596919528657
ZNF334	ENSG00000198185	20	45129701	45142198	0.71759	0.49	1.076	6	1	1	1	1	1	1	1
LRRC38	ENSG00000162494	1	13801445	13840543	0.34265	0.139	1.076	6	1	1	1	1	1	1	1
RP11-529K1.3	ENSG00000260537	16	70333097	70400163	0.6343	0.39	1.076	6	0.112089	1	1	1	0.357391526128989	1	1
ALDH16A1	ENSG00000161618	19	49956426	49974305	0.81163	0.619	1.076	6	1	1	1	1	1	1	1
CXorf38	ENSG00000185753	X	40488285	40506819	0.59631	0.349	1.076	6	1	1	1	1	1	1	1
MOB3B	ENSG00000120162	9	27325207	27529779	0.47093	0.231	1.077	6	1	1	1	1	1	1	1
ARPC4-TTLL3	ENSG00000250151	3	9834766	9877085	0.76584	0.554	1.077	6	0.00089991	1	1	1	0.0072111730302543	1	0.167797440802172
IDI1	ENSG00000067064	10	1085848	1095110	0.61721	0.371	1.077	6	0.349165	1	1	1	0.716560145271835	1	1
NTMT1	ENSG00000148335	9	132371163	132398209	0.41737	0.189	1.077	6	1	1	1	1	1	1	1
TTLL6	ENSG00000170703	17	46839597	46894576	0.80883	0.614	1.077	6	0.00429957	1	1	1	0.0277289599502043	1	0.423692861655056
USHBP1	ENSG00000130307	19	17359985	17393595	0.79421	0.593	1.077	6	0.0461954	1	1	1	0.188240483021099	1	1
PANX3	ENSG00000154143	11	124481386	124490252	0.61743	0.371	1.077	6	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
ART5	ENSG00000167311	11	3659733	3663546	0.57362	0.325	1.077	6	1	1	1	1	1	1	1
DRAM2	ENSG00000156171	1	111659955	111682838	0.59691	0.349	1.077	6	1	1	1	1	1	1	1
PTGR2	ENSG00000140043	14	74318547	74353530	0.67716	0.44	1.077	6	1	1	1	1	1	1	1
ADAP2	ENSG00000184060	17	29233362	29286340	0.72727	0.502	1.078	6	0.113889	1	1	1	0.361316381821775	1	1
C11orf21	ENSG00000110665	11	2316875	2324279	0.47118	0.231	1.078	6	1	1	1	1	1	1	1
ANXA13	ENSG00000104537	8	124693034	124749647	0.72722	0.502	1.078	6	1	1	1	1	1	1	1
TMEM232	ENSG00000186952	5	109624934	110074657	0.74845	0.53	1.078	6	1	1	1	1	1	1	1
PCID2	ENSG00000126226	13	113831891	113863029	0.76072	0.546	1.078	6	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
SLC17A4	ENSG00000146039	6	25754927	25781419	0.71892	0.491	1.078	6	1	1	1	1	1	1	1
IDO1	ENSG00000131203	8	39759794	39785963	0.65144	0.409	1.078	6	0.344566	1	1	1	0.711690606764682	1	1
MITD1	ENSG00000158411	2	99777890	99797521	0.63582	0.391	1.078	6	1	1	1	1	1	1	1
TJP3	ENSG00000105289	19	3708107	3750811	0.82495	0.638	1.078	6	0.110989	1	1	1	0.354978802600431	1	1
MAN2C1	ENSG00000140400	15	75648133	75660971	0.84963	0.675	1.078	6	1	0.0750339222264589	1	0.0750339222264589	0.269357897367519	1	1
PNPLA7	ENSG00000130653	9	140354404	140444986	0.87092	0.708	1.078	6	0.00019998	1	1	1	0.00190326829341939	1	0.0635596919528657
DPH6	ENSG00000134146	15	35509546	35838394	0.63602	0.391	1.079	6	1	1	1	1	1	1	1
AP1S3	ENSG00000152056	2	224616403	224702744	0.47165	0.231	1.079	6	0.115388	1	1	1	0.364563183899362	1	1
TMEM136	ENSG00000181264	11	120195838	120204391	0.5135	0.267	1.079	6	0.340166	1	1	1	0.706974326753308	1	1
MMD	ENSG00000108960	17	53469974	53499353	0.59787	0.35	1.079	6	1	1	1	1	1	1	1
ZNF782	ENSG00000196597	9	99578754	99637905	0.72755	0.502	1.079	6	1	1	1	1	1	1	1
FAM198B	ENSG00000164125	4	159045626	159094470	0.71059	0.48	1.079	6	1	1	1	1	1	1	1
CHRNA1	ENSG00000138435	2	175612320	175629200	0.70088	0.468	1.079	6	0.00479952	1	1	1	0.0304253061222337	1	0.437837032705038
FZD6	ENSG00000164930	8	104310661	104345094	0.7557	0.539	1.079	6	0.347365	1	1	1	0.714661518397803	1	1
FAM228A	ENSG00000186453	2	24397938	24423718	0.47162	0.231	1.079	6	1	1	1	1	1	1	1
SUOX	ENSG00000139531	12	56390964	56400425	0.66579	0.426	1.079	6	1	1	1	1	1	1	1
GUCY2C	ENSG00000070019	12	14765576	14849519	0.85428	0.681	1.079	6	1	1	1	1	1	1	1
SPATA5	ENSG00000145375	4	123844229	124240605	0.81045	0.616	1.079	6	0.342666	1	1	1	0.709660966348244	1	1
ATG16L2	ENSG00000168010	11	72525353	72554719	0.78801	0.583	1.08	6	1	1	1	1	1	1	1
DMBT1	ENSG00000187908	10	124320181	124403252	0.91532	0.778	1.08	6	1	1	1	1	1	1	1
PNMT	ENSG00000141744	17	37824234	37826728	0.51391	0.268	1.08	6	0.040396	1	1	1	0.170027754058205	1	1
NPY	ENSG00000122585	7	24323782	24331484	0.34413	0.14	1.08	6	0.562944	1	1	1	0.886397618002678	1	1
RBPJL	ENSG00000124232	20	43935491	43945803	0.74328	0.522	1.08	6	1	1	1	1	1	1	1
TRIM45	ENSG00000134253	1	117653682	117665209	0.70109	0.468	1.08	6	0.335766	1	1	1	0.702201131765446	1	1
TNNC2	ENSG00000101470	20	44451853	44462384	0.47213	0.232	1.08	6	1	1	1	1	1	1	1
NGDN	ENSG00000129460	14	23938897	23979071	0.70163	0.468	1.08	6	1	1	1	1	1	1	1
SMUG1	ENSG00000123415	12	54558529	54582778	0.57514	0.326	1.08	6	1	1	1	1	1	1	1
UGT1A1	ENSG00000242366	2	234668894	234681945	0.65252	0.41	1.08	6	0.559444	1	1	1	0.884375702152608	1	1
CEP55	ENSG00000138180	10	95256389	95288849	0.75643	0.539	1.08	6	0.268473	1	1	1	0.621516318235976	1	1
PEX11B	ENSG00000131779	1	145516252	145523730	0.59858	0.35	1.08	6	0.0783922	1	1	1	0.277981159314895	1	1
DFFB	ENSG00000169598	1	3773845	3801993	0.63655	0.392	1.08	6	0.112789	1	1	1	0.358921268358067	1	1
SYNE3	ENSG00000176438	14	95883831	95942173	0.83727	0.655	1.08	6	1	1	1	1	1	1	1
RLBP1	ENSG00000140522	15	89753100	89764982	0.63691	0.392	1.08	6	0.343066	1	1	1	0.710089132602409	1	1
ANKRD35	ENSG00000198483	1	145549230	145568526	0.83833	0.656	1.081	6	0.0783922	1	1	1	0.277981159314895	1	1
NEIL3	ENSG00000109674	4	178230990	178284097	0.72058	0.492	1.081	6	0.019798	1	1	1	0.0974492079096805	1	0.901731949250412
EEF2K	ENSG00000103319	16	22217603	22298554	0.81225	0.617	1.081	6	0.234777	1	1	1	0.574996847039499	1	1
ABCB8	ENSG00000197150	7	150725510	150744869	0.78352	0.577	1.081	6	1	1	1	1	1	1	1
PTCD3	ENSG00000132300	2	86333305	86369280	0.82499	0.636	1.081	6	1	1	1	1	1	1	1
CYP27C1	ENSG00000186684	2	127941696	127977654	0.66736	0.427	1.081	6	1	1	1	1	1	1	1
C5orf15	ENSG00000113583	5	133291201	133304478	0.41882	0.19	1.081	6	0.352465	1	1	1	0.720016895096628	1	1
ACE	ENSG00000159640	17	61554422	61599205	0.8746	0.712	1.081	6	0.00159984	1	1	1	0.011899372591314	1	0.233570813533185
MYH1	ENSG00000109061	17	10395624	10421860	0.90838	0.766	1.081	6	1	1	1	1	1	1	1
CDK5RAP3	ENSG00000108465	17	46045176	46059140	0.77934	0.57	1.081	6	1	1	1	1	1	1	1
PTTG1IP	ENSG00000183255	21	46269500	46293752	0.5145	0.268	1.081	6	0.119688	1	1	1	0.373769696168739	1	1
TMEM208	ENSG00000168701	16	67261006	67263181	0.54798	0.299	1.081	6	0.338866	1	1	1	0.705570021492711	1	1
LOR	ENSG00000203782	1	153232176	153234598	0.22961	0.081	1.081	6	1	1	1	1	1	1	1
EXTL1	ENSG00000158008	1	26346375	26362955	0.75162	0.532	1.082	6	1	1	1	1	1	1	1
NDOR1	ENSG00000188566	9	140100147	140111461	0.76386	0.549	1.082	6	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
FBXO40	ENSG00000163833	3	121311966	121349139	0.71221	0.481	1.082	6	1	1	1	1	1	1	1
CLDN19	ENSG00000164007	1	43198764	43205925	0.51487	0.268	1.082	6	1	1	1	1	1	1	1
YAE1D1	ENSG00000241127	7	39605975	39649919	0.54851	0.299	1.082	6	0.115288	1	1	1	0.364347195063131	1	1
NHP2	ENSG00000145912	5	177576461	177580968	0.41932	0.19	1.082	6	1	1	1	1	1	1	1
ALS2CL	ENSG00000178038	3	46710487	46735194	0.8488	0.671	1.082	6	1	1	1	1	1	1	1
OR11L1	ENSG00000197591	1	248004199	248005254	0.41935	0.19	1.082	6	0.560344	1	1	1	0.8848977092685	1	1
PTRF	ENSG00000177469	17	40554470	40575535	0.51493	0.268	1.082	6	1	1	1	1	1	1	1
ACOT11	ENSG00000162390	1	55007930	55104865	0.79355	0.59	1.082	6	1	1	1	1	1	1	1
SLFNL1	ENSG00000171790	1	41481269	41488909	0.62025	0.373	1.082	6	1	1	1	1	1	1	1
DPAGT1	ENSG00000172269	11	118967213	118979041	0.63793	0.393	1.082	6	1	1	1	1	1	1	1
CDX1	ENSG00000113722	5	149546358	149564120	0.3446	0.14	1.082	6	1	1	1	1	1	1	1
MOCS1	ENSG00000124615	6	39867354	39902290	0.66808	0.427	1.082	6	0.339766	1	1	1	0.706542762863687	1	1
QTRT1	ENSG00000213339	19	10812106	10824113	0.68031	0.442	1.082	6	0.275672	1	1	1	0.630887370837783	1	1
MZF1	ENSG00000099326	19	59073298	59084942	0.73769	0.514	1.082	6	1	1	1	1	1	1	1
FCGR1A	ENSG00000150337	1	149754227	149764074	0.60032	0.351	1.083	6	1	1	1	1	1	1	1
CHCHD5	ENSG00000125611	2	113341817	113346852	0.41977	0.19	1.083	6	1	1	1	1	1	1	1
ACTR6	ENSG00000075089	12	100592900	100635643	0.71291	0.482	1.083	6	1	1	1	1	1	1	1
AIFM2	ENSG00000042286	10	71857979	71892690	0.63876	0.393	1.083	6	1	1	1	1	1	1	1
RHO	ENSG00000163914	3	129247483	129254012	0.60038	0.351	1.083	6	1	1	1	1	1	1	1
GPC5	ENSG00000179399	13	92050929	93519490	0.73024	0.504	1.083	6	1	1	1	1	1	1	1
LACTBL1	ENSG00000215906	1	23279536	23291831	0.54877	0.299	1.083	6	0.119488	1	1	1	0.373344955590041	1	1
AQP1	ENSG00000250424	7	30893010	30963427	0.68094	0.442	1.083	6	1	1	1	1	1	1	1
CCDC62	ENSG00000130783	12	123258874	123312075	0.78978	0.584	1.083	6	1	1	1	1	1	1	1
FRK	ENSG00000111816	6	116252312	116381921	0.75948	0.542	1.084	6	0.0155984	1	1	1	0.0804968992326981	1	0.796643462934774
TRPV1	ENSG00000196689	17	3468738	3500392	0.79538	0.591	1.084	6	1	1	1	1	1	1	1
ZNF559-ZNF177	ENSG00000270011	19	9434850	9493293	0.5772	0.327	1.084	6	0.346665	1	1	1	0.713920647188508	1	1
OSGEP	ENSG00000092094	14	20914570	20923264	0.69349	0.457	1.084	6	0.342366	1	1	1	0.709339535266542	1	1
CCL15	ENSG00000267596	17	34323476	34329084	0.23031	0.081	1.084	6	1	1	1	1	1	1	1
SHPK	ENSG00000262304	17	3468738	3539543	0.79538	0.591	1.084	6	1	1	1	1	1	1	1
RGS18	ENSG00000150681	1	192127587	192154945	0.54918	0.3	1.084	6	1	1	1	1	1	1	1
SEPT1	ENSG00000270466	16	30389755	30393863	0.70419	0.47	1.084	6	0.113189	1	1	1	0.359793454491003	1	1
THY1	ENSG00000154096	11	119288090	119295695	0.41995	0.19	1.084	6	1	1	1	1	1	1	1
FUT10	ENSG00000172728	8	33228342	33330940	0.71343	0.482	1.084	6	1	1	1	1	1	1	1
LRRC6	ENSG00000129295	8	133584320	133687838	0.73879	0.514	1.084	6	1	1	1	1	1	1	1
DOHH	ENSG00000129932	19	3490819	3500938	0.47424	0.233	1.084	6	0.329367	1	1	1	0.695156275157712	1	1
ARSK	ENSG00000164291	5	94890778	94940768	0.7308	0.504	1.084	6	1	1	1	1	1	1	1
GC	ENSG00000145321	4	72607410	72669758	0.74607	0.524	1.084	6	0.341066	1	1	1	0.707943626597457	1	1
XCR1	ENSG00000173578	3	46058516	46069234	0.47411	0.233	1.084	6	1	1	1	1	1	1	1
IGSF6	ENSG00000140749	16	21652609	21663981	0.55005	0.3	1.085	6	0.00229977	1	1	1	0.0162707489327919	1	0.28190394157293
ACAD10	ENSG00000111271	12	112123857	112194903	0.85923	0.685	1.085	6	1	1	1	1	1	1	1
PSMC3IP	ENSG00000131470	17	40724333	40729849	0.62189	0.374	1.085	6	1	1	1	1	1	1	1
TEKT1	ENSG00000167858	17	6692452	6735080	0.66947	0.428	1.085	6	1	1	1	1	1	1	1
PIRT	ENSG00000233670	17	10725792	10741762	0	0	1.085	6	1	1	1	1	1	1	1
SMPD1	ENSG00000166311	11	6411655	6416228	0.73137	0.505	1.085	6	1	1	1	1	1	1	1
RFX8	ENSG00000196460	2	102013823	102091165	0.71436	0.483	1.085	6	1	1	1	1	1	1	1
SLC35E4	ENSG00000100036	22	31031639	31065003	0.47445	0.233	1.085	6	0.00679932	1	1	1	0.040734268334026	1	0.543038714727984
TAF13	ENSG00000197780	1	109605108	109618624	0.47459	0.233	1.085	6	1	1	1	1	1	1	1
BTN1A1	ENSG00000124557	6	26501449	26510650	0.70443	0.47	1.085	6	1	1	1	1	1	1	1
NIT1	ENSG00000158793	1	161087876	161095235	0.66952	0.428	1.085	6	0.349565	0.0165031400826809	1	0.0165031400826809	0.0355092633045125	1	0.486560547934851
SPIDR	ENSG00000164808	8	48173167	48648868	0.7999	0.597	1.085	6	1	1	1	1	1	1	1
C5orf51	ENSG00000205765	5	41904290	41921738	0.65629	0.412	1.086	6	1	1	1	1	1	1	1
ERCC2	ENSG00000104884	19	45853095	45874176	0.81597	0.62	1.086	6	1	1	1	1	1	1	1
CD151	ENSG00000177697	11	832843	839831	0.64053	0.394	1.086	6	0.00419958	1	1	1	0.0271829186227926	1	0.423692861655056
MTMR11	ENSG00000014914	1	149900543	149908791	0.83161	0.643	1.086	6	1	1	1	1	1	1	1
CDKL1	ENSG00000100490	14	50796310	50883179	0.68285	0.444	1.086	6	1	1	1	1	1	1	1
CLIC2	ENSG00000155962	X	154505500	154563966	0.42098	0.191	1.086	6	1	1	1	1	1	1	1
RWDD3	ENSG00000122481	1	95699711	95712781	0.55029	0.3	1.086	6	0.339866	1	1	1	0.70665069796248	1	1
RHOD	ENSG00000173156	11	66824289	66839484	0.47479	0.233	1.086	6	0.339266	1	1	1	0.706002645716021	1	1
WDR64	ENSG00000162843	1	241815580	241965435	0.86391	0.692	1.086	6	0.0405959	1	1	1	0.170668744267805	1	1
TBC1D26	ENSG00000214946	17	15635561	15649476	0.64038	0.394	1.086	6	1	1	1	1	1	1	1
SLC37A3	ENSG00000157800	7	139993493	140104233	0.77197	0.558	1.086	6	1	1	1	1	1	1	1
GRK4	ENSG00000125388	4	2965335	3042474	0.78809	0.58	1.087	6	0.00289971	1	1	1	0.0198431346743525	1	0.333562746360372
NHLH2	ENSG00000177551	1	116378998	116386538	0	0	1.087	6	0.335766	1	1	1	0.702201131765446	1	1
CCDC172	ENSG00000182645	10	118083940	118139541	0.62308	0.375	1.087	6	0.00139986	1	1	1	0.0105988762726791	1	0.214627244521752
ACOT12	ENSG00000172497	5	80625824	80689998	0.77806	0.566	1.087	6	1	1	1	1	1	1	1
AQP6	ENSG00000086159	12	50360977	50370922	0.47518	0.233	1.087	6	1	1	1	1	1	1	1
NTSR2	ENSG00000169006	2	11798304	11810290	0.51738	0.269	1.087	6	1	1	1	1	1	1	1
CCDC3	ENSG00000151468	10	12938627	13141652	0.51734	0.269	1.087	6	0.554145	1	1	1	0.881272804760006	1	1
USH1G	ENSG00000182040	17	72912176	72919351	0.62273	0.374	1.087	6	0.345965	1	1	1	0.713178362509919	1	1
RPUSD2	ENSG00000166133	15	40861499	40866659	0.67072	0.429	1.087	6	0.337366	1	1	1	0.70394347089197	1	1
REXO4	ENSG00000148300	9	136271186	136283164	0.6708	0.429	1.087	6	1	1	1	1	1	1	1
C6orf89	ENSG00000198663	6	36839646	36896740	0.67093	0.429	1.087	6	1	1	1	1	1	1	1
RP11-58C22.1	ENSG00000261833	16	76587314	76669520	0	0	1.088	6	1	1	1	1	1	1	1
PDCL2	ENSG00000163440	4	56422692	56458379	0.55121	0.301	1.088	6	0.117888	1	1	1	0.369934932150271	1	1
SLC6A16	ENSG00000063127	19	49792895	49828482	0.76778	0.551	1.088	6	1	1	1	1	1	1	1
CASP12	ENSG00000204403	11	104756445	104769397	0.60318	0.353	1.088	6	1	1	1	1	1	1	1
EDEM1	ENSG00000134109	3	5229331	5261642	0.7739	0.56	1.088	6	1	1	1	1	1	1	1
FGF4	ENSG00000075388	11	69587797	69590171	0.34688	0.141	1.088	6	0.118188	1	1	1	0.370575956832753	1	1
AACS	ENSG00000081760	12	125549925	125627873	0.79801	0.593	1.088	6	1	1	1	1	1	1	1
FAM161B	ENSG00000156050	14	74398204	74417117	0.7734	0.559	1.088	6	1	1	1	1	1	1	1
RPS21	ENSG00000171858	20	60962172	60963576	0.34687	0.141	1.088	6	0.118788	1	1	1	0.371855723627421	1	1
TACO1	ENSG00000136463	17	61678231	61685725	0.55152	0.301	1.088	6	0.00449955	1	1	1	0.0288141187923786	1	0.425495875736378
FRRS1L	ENSG00000260230	9	111892573	111929571	0.55148	0.301	1.088	6	0.113289	1	1	1	0.36001127995921	1	1
CYP2A13	ENSG00000197838	19	41594377	41602100	0.67205	0.43	1.089	6	1	1	1	1	1	1	1
CASP6	ENSG00000138794	4	110609785	110624739	0.60384	0.353	1.089	6	1	1	1	1	1	1	1
LACTB2	ENSG00000147592	8	71547553	71581409	0.62429	0.375	1.089	6	1	1	1	1	1	1	1
APPL2	ENSG00000136044	12	105567074	105630016	0.81105	0.611	1.089	6	1	1	1	1	1	1	1
TRAF5	ENSG00000082512	1	211499957	211548288	0.76229	0.544	1.089	6	1	1	1	1	1	1	1
ZNF627	ENSG00000198551	19	11670189	11729950	0.23149	0.081	1.089	6	0.120888	1	1	1	0.376311140838783	1	1
PTPN22	ENSG00000134242	1	114356433	114414381	0.8246	0.631	1.089	6	1	1	1	1	1	1	1
EBNA1BP2	ENSG00000117395	1	43629846	43736607	0.72613	0.496	1.089	6	1	1	1	1	1	1	1
HSD17B8	ENSG00000204228	6	33172419	33174608	0.62414	0.375	1.089	6	1	1	1	1	1	1	1
FKBP2	ENSG00000173486	11	64008475	64011604	0.42179	0.191	1.089	6	0.0380962	1	1	1	0.16258089513467	1	1
CEP19	ENSG00000174007	3	196433148	196439164	0.47679	0.234	1.09	6	0.00219978	1	1	1	0.0156611091644168	1	0.272818795489391
TMOD4	ENSG00000163157	1	151142462	151148760	0.70808	0.473	1.09	6	1	1	1	1	1	1	1
DDX52	ENSG00000141141	17	35969787	36003493	0.79018	0.581	1.09	6	0.0049995	1	1	1	0.0314889376490561	1	0.4466151049905
DSG3	ENSG00000134757	18	29027758	29058665	0.82201	0.627	1.09	6	0.561544	1	1	1	0.885591470537546	1	1
SPDL1	ENSG00000040275	5	169010638	169031782	0.79957	0.594	1.09	6	0.115288	1	1	1	0.364347195063131	1	1
STXBP4	ENSG00000166263	17	53046088	53241646	0.78056	0.568	1.09	6	1	1	1	1	1	1	1
NAALAD2	ENSG00000077616	11	89864683	89926062	0.82247	0.627	1.09	6	0.560844	1	1	1	0.885187088456636	1	1
SPATA18	ENSG00000163071	4	52917497	52963458	0.77549	0.561	1.091	6	0.115988	1	1	1	0.365857299591824	1	1
PXDNL	ENSG00000147485	8	52232138	52722005	0.87676	0.709	1.091	6	0.343266	1	1	1	0.710303040802014	1	1
FAM168B	ENSG00000152102	2	131805449	131851033	0.4769	0.234	1.091	6	1	1	1	1	1	1	1
CUEDC1	ENSG00000180891	17	55938604	56032684	0.69773	0.46	1.091	6	1	1	1	1	1	1	1
TTPA	ENSG00000137561	8	63961112	63998612	0.55311	0.302	1.091	6	0.117788	1	1	1	0.369721087699357	1	1
HSD17B3	ENSG00000130948	9	98997588	99064434	0.67341	0.431	1.091	6	0.275372	1	1	1	0.630500644483333	1	1
SIGLEC7	ENSG00000168995	19	51645556	51656783	0.68606	0.446	1.091	6	1	1	1	1	1	1	1
VILL	ENSG00000136059	3	38029550	38048679	0.83555	0.646	1.091	6	1	1	1	1	1	1	1
SLC34A2	ENSG00000157765	4	25656923	25680370	0.74334	0.518	1.091	6	0.120288	1	1	1	0.375041914918585	1	1
AP5M1	ENSG00000053770	14	57735627	57756797	0.72744	0.497	1.091	6	0.114989	1	1	1	0.363700870740412	1	1
PDCD2L	ENSG00000126249	19	34895289	34917073	0.67352	0.431	1.091	6	0.341266	1	1	1	0.708158703823647	1	1
FANCG	ENSG00000221829	9	35073832	35080013	0.78093	0.568	1.091	6	1	1	1	1	1	1	1
CIB2	ENSG00000136425	15	78396948	78423886	0.55272	0.302	1.091	6	1	1	1	1	1	1	1
ATF4	ENSG00000128272	22	39915700	39918691	0.47704	0.234	1.091	6	1	1	1	1	1	1	1
DUSP11	ENSG00000144048	2	73989311	74007284	0.6734	0.431	1.091	6	1	1	1	1	1	1	1
LYPLA1	ENSG00000120992	8	54958938	55014577	0.6253	0.376	1.091	6	1	1	1	1	1	1	1
ZNF621	ENSG00000172888	3	40566369	40616176	0.64362	0.396	1.092	6	1	1	1	1	1	1	1
ITIH2	ENSG00000151655	10	7745232	7791483	0.8361	0.646	1.092	6	1	1	1	1	1	1	1
CABP5	ENSG00000105507	19	48533210	48547310	0.51934	0.27	1.092	6	1	1	1	1	1	1	1
ZNF135	ENSG00000176293	19	58570607	58597677	0.76493	0.546	1.092	6	1	1	1	1	1	1	1
GALK1	ENSG00000108479	17	73747675	73761792	0.64398	0.396	1.092	6	1	1	1	1	1	1	1
KEL	ENSG00000197993	7	142638201	142659768	0.82701	0.633	1.092	6	1	1	1	1	1	1	1
CCDC71L	ENSG00000253276	7	106297211	106301442	0	0	1.092	6	0.117188	1	1	1	0.36843623560038	1	1
EXOSC7	ENSG00000075914	3	45016733	45077558	0.64379	0.396	1.092	6	1	1	1	1	1	1	1
WIF1	ENSG00000156076	12	65444406	65515346	0.72774	0.497	1.092	6	1	1	1	1	1	1	1
GMPPB	ENSG00000173540	3	49754277	49761384	0.67389	0.431	1.092	6	0.337966	1	1	1	0.704594889793547	1	1
MED10	ENSG00000133398	5	6371994	6378707	0.42311	0.192	1.092	6	1	1	1	1	1	1	1
PRRX2	ENSG00000167157	9	132427920	132484875	0.34808	0.141	1.092	6	1	1	1	1	1	1	1
KRT27	ENSG00000171446	17	38933060	38938786	0.70936	0.474	1.092	6	1	1	1	1	1	1	1
NINL	ENSG00000101004	20	25433341	25566153	0.88668	0.724	1.092	6	1	1	1	1	1	1	1
FAM217A	ENSG00000145975	6	4049668	4087578	0.71984	0.486	1.093	6	0.00179982	1	1	1	0.0131748059019932	1	0.241332775668477
ADAMTSL4	ENSG00000143382	1	150521884	150533413	0.85735	0.678	1.093	6	1	1	1	1	1	1	1
FMO1	ENSG00000010932	1	171217638	171255117	0.74468	0.519	1.093	6	1	1	1	1	1	1	1
CA9	ENSG00000107159	9	35673853	35681156	0.7286	0.498	1.093	6	1	1	1	1	1	1	1
C1QTNF1	ENSG00000173918	17	77018896	77045870	0.5819	0.33	1.093	6	1	1	1	1	1	1	1
SPERT	ENSG00000174015	13	46276446	46288694	0.62621	0.376	1.093	6	1	1	1	1	1	1	1
SNX22	ENSG00000157734	15	64443914	64449680	0.52021	0.271	1.093	6	0.345465	1	1	1	0.712647292194954	1	1
HAUS3	ENSG00000214367	4	2229191	2243891	0.72874	0.498	1.093	6	0.00019998	1	1	1	0.00190326829341939	1	0.0635596919528657
XRCC4	ENSG00000152422	5	82373317	82649606	0.67533	0.432	1.094	6	0.00029997	1	1	1	0.00273327507164987	1	0.0831548043588947
CLDN12	ENSG00000157224	7	90013035	90142716	0.42407	0.192	1.094	6	0.269373	1	1	1	0.622698315823125	1	1
NOSTRIN	ENSG00000163072	2	169643049	169722024	0.79828	0.59	1.094	6	0.040396	1	1	1	0.170027754058205	1	1
SAP30L	ENSG00000164576	5	153825517	153840614	0.55417	0.302	1.094	6	1	1	1	1	1	1	1
RFT1	ENSG00000163933	3	53122499	53164478	0.77247	0.555	1.094	6	1	1	1	1	1	1	1
RD3L	ENSG00000227729	14	104406763	104408645	0.42386	0.192	1.094	6	1	1	1	1	1	1	1
C1QC	ENSG00000159189	1	22970123	22974603	0.42387	0.192	1.094	6	0.119488	1	1	1	0.373344955590041	1	1
ATP8B4	ENSG00000104043	15	50150435	50475014	0.87596	0.706	1.094	6	1	1	1	1	1	1	1
SH2D2A	ENSG00000027869	1	156776035	156786654	0.6754	0.432	1.094	6	1	1	1	1	1	1	1
SH2D5	ENSG00000189410	1	21046225	21059330	0.69958	0.461	1.094	6	0.0419958	1	1	1	0.175130283179566	1	1
STON1-GTF2A1L	ENSG00000068781	2	48757064	49003654	0.83495	0.643	1.094	6	1	1	1	1	1	1	1
ALDH2	ENSG00000111275	12	112204691	112247782	0.73792	0.509	1.094	6	1	1	1	1	1	1	1
PTPN7	ENSG00000143851	1	202116141	202130716	0.77774	0.562	1.094	6	1	1	1	1	1	1	1
SEPP1	ENSG00000250722	5	42799982	42887494	0.67523	0.432	1.094	6	1	1	1	1	1	1	1
NDUFB10	ENSG00000140990	16	2009509	2011976	0.52046	0.271	1.094	6	1	1	1	1	1	1	1
TRMT112	ENSG00000173113	11	64083932	64085556	0.3486	0.141	1.094	6	0.0380962	1	1	1	0.16258089513467	1	1
CCDC94	ENSG00000105248	19	4247076	4269087	0.67556	0.432	1.095	6	0.0374963	1	1	1	0.160615889159597	1	1
RAD1	ENSG00000113456	5	34905369	34919094	0.60719	0.355	1.095	6	1	1	1	1	1	1	1
